edad,p2,p3_1,p3_2,p3_3,p3_4,p3_5,p8_1,p8_2,p14_1,p14_2,p20_1,p20_2,p26,p30,p32,p34_4,year,grupo_edad,grupo_edad_numerico,reads_physical,reads_digital
24,1,1,2,2,1,1,2,1,0,0,0,0,60,3,0,1,2019,18-30,1,1,1
36,1,1,2,1,2,1,1,1,0,0,2,1,120,4,0,1,2019,31-45,2,1,1
33,1,1,2,2,2,1,2,1,0,0,0,0,60,4,0,1,2019,31-45,2,1,1
32,2,2,2,1,2,1,0,0,0,0,2,1,30,2,0,2,2019,31-45,2,1,1
44,2,2,2,1,2,1,0,0,0,0,2,1,20,4,0,1,2019,31-45,2,1,1
64,1,1,2,1,2,2,2,1,0,0,2,1,20,2,0,2,2019,56-70,4,1,0
23,1,2,2,1,2,1,0,0,0,0,2,1,30,3,0,1,2019,18-30,1,1,1
37,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,31-45,2,0,0
30,2,2,2,1,2,2,0,0,0,0,2,1,15,1,0,2,2019,18-30,1,1,0
38,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,1,2019,31-45,2,0,0
80,1,1,2,1,2,2,2,1,0,0,2,1,30,2,0,2,2019,70+,5,1,0
69,1,1,2,1,2,1,2,1,0,0,2,1,30,4,0,2,2019,56-70,4,1,1
69,1,2,2,1,2,2,0,0,0,0,2,1,60,4,0,2,2019,56-70,4,1,0
36,1,2,2,1,2,1,0,0,0,0,1,2,10,3,0,1,2019,31-45,2,1,1
43,1,2,1,2,2,1,0,0,2,1,0,0,15,2,0,1,2019,31-45,2,1,1
43,1,2,2,1,2,1,0,0,0,0,2,1,30,2,0,1,2019,31-45,2,1,1
63,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,56-70,4,0,0
55,1,1,2,2,2,2,2,1,0,0,0,0,60,4,0,2,2019,46-55,3,1,0
26,1,1,2,2,1,1,2,1,0,0,0,0,30,4,0,2,2019,18-30,1,1,1
43,1,1,1,1,2,2,2,1,2,1,2,1,60,3,0,1,2019,31-45,2,1,0
49,1,1,2,2,2,1,2,1,0,0,0,0,30,3,0,2,2019,46-55,3,1,1
39,1,2,1,2,2,1,0,0,2,1,0,0,20,4,0,2,2019,31-45,2,1,1
42,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,31-45,2,0,0
51,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,2,2019,46-55,3,0,0
32,1,1,2,2,1,1,1,2,0,0,0,0,30,3,0,1,2019,31-45,2,1,1
43,2,2,2,1,2,2,0,0,0,0,2,1,6,1,0,2,2019,31-45,2,1,0
68,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,56-70,4,0,0
48,1,1,1,1,2,1,2,1,2,1,1,2,30,4,0,1,2019,46-55,3,1,1
39,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,31-45,2,0,0
65,1,2,2,1,2,2,0,0,0,0,2,1,15,2,0,2,2019,56-70,4,1,0
63,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,56-70,4,0,0
39,1,1,1,1,2,2,2,1,2,1,2,1,20,3,0,1,2019,31-45,2,1,0
20,1,1,2,2,2,1,2,1,0,0,0,0,20,4,0,1,2019,18-30,1,1,1
39,1,2,1,1,2,2,0,0,2,1,2,1,10,3,0,2,2019,31-45,2,1,0
56,1,2,1,1,2,1,0,0,1,2,2,1,60,3,0,1,2019,56-70,4,1,1
63,1,1,1,1,2,2,1,2,2,1,2,1,60,4,0,1,2019,56-70,4,1,0
37,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,31-45,2,0,0
69,1,2,1,1,2,2,0,0,2,1,2,1,30,4,0,1,2019,56-70,4,1,0
39,2,2,2,2,2,1,0,0,0,0,0,0,30,3,0,1,2019,31-45,2,0,1
60,1,1,1,1,2,1,2,1,2,1,2,1,5,2,0,2,2019,56-70,4,1,1
52,1,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2019,46-55,3,0,0
25,1,2,1,2,2,1,0,0,2,1,0,0,30,3,0,1,2019,18-30,1,1,1
49,1,1,2,2,2,1,2,1,0,0,0,0,20,3,0,2,2019,46-55,3,1,1
61,1,1,1,1,2,2,2,1,2,1,2,1,15,4,0,2,2019,56-70,4,1,0
36,1,2,1,1,2,2,0,0,2,1,2,1,5,4,0,2,2019,31-45,2,1,0
65,1,1,2,1,2,2,2,1,0,0,2,1,20,1,0,1,2019,56-70,4,1,0
49,2,2,2,1,2,2,0,0,0,0,2,1,5,4,0,1,2019,46-55,3,1,0
40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2019,31-45,2,0,0
33,2,2,1,2,2,1,0,0,2,1,0,0,60,3,0,1,2019,31-45,2,1,1
67,1,1,2,1,2,2,2,1,0,0,2,1,20,3,0,2,2019,56-70,4,1,0
44,2,2,2,2,2,1,0,0,0,0,0,0,5,3,0,1,2019,31-45,2,0,1
40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,1,2019,31-45,2,0,0
21,1,1,1,1,2,1,2,1,2,1,1,2,60,4,0,1,2019,18-30,1,1,1
46,1,2,2,2,2,1,0,0,0,0,0,0,20,4,0,1,2019,46-55,3,0,1
28,1,2,1,2,1,1,0,0,1,2,0,0,15,3,0,1,2019,18-30,1,1,1
23,1,1,1,1,1,1,2,1,2,1,2,1,20,4,0,1,2019,18-30,1,1,1
45,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,1,2019,31-45,2,0,0
55,1,2,1,1,2,2,0,0,2,1,2,1,45,3,0,1,2019,46-55,3,1,0
40,2,2,2,2,2,2,0,0,0,0,0,0,0,0,3,2,2019,31-45,2,0,0
23,1,1,2,2,2,1,2,1,0,0,0,0,120,3,0,1,2019,18-30,1,1,1
27,1,1,2,2,2,2,1,2,0,0,0,0,90,3,0,2,2019,18-30,1,1,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019,70+,5,0,0
32,1,2,1,2,2,2,0,0,2,1,0,0,45,2,0,2,2019,31-45,2,1,0
56,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,56-70,4,0,0
22,1,1,2,2,2,2,1,2,0,0,0,0,120,4,0,1,2019,18-30,1,1,0
18,2,2,1,2,2,2,0,0,2,1,0,0,20,3,0,1,2019,18-30,1,1,0
55,1,1,2,2,2,2,2,1,0,0,0,0,45,3,0,2,2019,46-55,3,1,0
23,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,18-30,1,0,0
70,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,56-70,4,0,0
67,1,2,1,2,2,2,0,0,2,1,0,0,60,3,0,2,2019,56-70,4,1,0
68,1,1,2,2,2,2,2,1,0,0,0,0,40,3,0,1,2019,56-70,4,1,0
54,1,1,1,2,2,1,1,2,2,1,0,0,120,4,0,1,2019,46-55,3,1,1
69,1,1,2,2,2,2,2,1,0,0,0,0,45,3,0,1,2019,56-70,4,1,0
86,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,70+,5,0,0
52,1,1,1,2,2,2,1,2,2,1,0,0,60,3,0,1,2019,46-55,3,1,0
39,1,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2019,31-45,2,0,0
58,1,1,2,2,2,2,2,1,0,0,0,0,120,4,0,2,2019,56-70,4,1,0
80,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,70+,5,0,0
50,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,46-55,3,0,0
33,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,31-45,2,0,0
39,1,2,2,1,2,2,0,0,0,0,2,1,45,2,0,2,2019,31-45,2,1,0
49,1,1,2,2,2,2,2,1,0,0,0,0,60,3,0,1,2019,46-55,3,1,0
19,1,2,1,2,2,2,0,0,2,1,0,0,50,3,0,1,2019,18-30,1,1,0
70,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,56-70,4,0,0
44,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2019,31-45,2,0,0
29,1,1,2,1,2,1,1,2,0,0,2,1,60,3,0,1,2019,18-30,1,1,1
23,1,2,2,1,2,2,0,0,0,0,2,1,60,2,0,2,2019,18-30,1,1,0
49,1,1,1,1,2,1,1,2,2,1,2,1,60,4,0,1,2019,46-55,3,1,1
68,1,2,2,1,2,2,0,0,0,0,2,1,60,3,0,1,2019,56-70,4,1,0
74,1,1,1,1,2,2,2,1,2,1,2,1,120,4,0,1,2019,70+,5,1,0
68,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,2,2019,56-70,4,0,0
47,2,2,2,2,2,2,0,0,0,0,0,0,0,0,2,1,2019,46-55,3,0,0
20,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,2,2019,18-30,1,0,0
